county,JP_court,case_type,date_range,num_reports_submitted,active_pending_start_date,reactivated,added,disposed,placed_on_inactive_status,active_pending_end_date,source
Anderson,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,86,0,129,129,0,90,"AOC Statistical Report, FY2015"
Anderson,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,26,0,111,101,0,35,"AOC Statistical Report, FY2015"
Anderson,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,221,0,91,57,0,233,"AOC Statistical Report, FY2015"
Anderson,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,30,0,124,104,1,50,"AOC Statistical Report, FY2015"
Andrews,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,84,0,46,50,0,83,"AOC Statistical Report, FY2015"
Andrews,Precincts 2,Civil,9/1/2014 - 8/31/2015,12,7,0,50,43,1,15,"AOC Statistical Report, FY2015"
Angelina,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,134,0,739,632,0,237,"AOC Statistical Report, FY2015"
Angelina,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,255,0,244,176,0,311,"AOC Statistical Report, FY2015"
Angelina,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,181,0,115,53,0,240,"AOC Statistical Report, FY2015"
Angelina,Precinct 3 Place 1 (At large),Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Angelina,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,32,0,118,87,45,63,"AOC Statistical Report, FY2015"
Aransas,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,78,0,171,151,0,98,"AOC Statistical Report, FY2015"
Aransas,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,96,0,214,198,0,115,"AOC Statistical Report, FY2015"
Archer,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,4,2,0,2,"AOC Statistical Report, FY2015"
Archer,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,8,12,0,0,0,0,0,"AOC Statistical Report, FY2015"
Archer,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,4,0,0,0,0,0,0,"AOC Statistical Report, FY2015"
Archer,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,10,10,0,3,1,0,0,"AOC Statistical Report, FY2015"
Armstrong,Countywide,Civil,9/1/2014 - 8/31/2015,12,92,0,43,57,0,71,"AOC Statistical Report, FY2015"
Atascosa,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,116,0,129,158,0,65,"AOC Statistical Report, FY2015"
Atascosa,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,107,0,98,27,0,177,"AOC Statistical Report, FY2015"
Atascosa,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,93,0,76,46,0,131,"AOC Statistical Report, FY2015"
Atascosa,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,31,0,116,105,0,42,"AOC Statistical Report, FY2015"
Austin,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,42,0,51,49,0,47,"AOC Statistical Report, FY2015"
Austin,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,36,39,0,12,"AOC Statistical Report, FY2015"
Austin,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,9,0,78,70,0,17,"AOC Statistical Report, FY2015"
Austin,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,10,0,27,29,0,5,"AOC Statistical Report, FY2015"
Bailey,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,131,0,65,60,0,141,"AOC Statistical Report, FY2015"
Bandera,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,30,0,48,63,0,12,"AOC Statistical Report, FY2015"
Bandera,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,17,0,34,30,1,21,"AOC Statistical Report, FY2015"
Bandera,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,32,0,46,39,0,37,"AOC Statistical Report, FY2015"
Bandera,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,9,0,29,36,2,3,"AOC Statistical Report, FY2015"
Bastrop,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,185,0,190,166,0,213,"AOC Statistical Report, FY2015"
