,county,timeframe,civil_cases
0,El Paso,9/1/2014 - 8/31/2015,7854.0
1,El Paso,9/1/2015 - 8/31/2016,8898.0
2,El Paso,9/1/2016 - 8/31/2017,11774.0
3,El Paso,9/1/2017 - 8/31/2018,15351.0
4,El Paso,9/1/2018 - 8/31/2019,19213.0
5,El Paso,9/1/2019 - 8/31/2020,15065.0
6,Travis,9/1/2014 - 8/31/2015,16233.0
7,Travis,9/1/2015 - 8/31/2016,15507.0
8,Travis,9/1/2016 - 8/31/2017,19223.0
9,Travis,9/1/2017 - 8/31/2018,19957.0
10,Travis,9/1/2018 - 8/31/2019,25899.0
11,Travis,9/1/2019 - 8/31/2020,19465.0
12,Harris,9/1/2014 - 8/31/2015,94160.0
13,Harris,9/1/2015 - 8/31/2016,94625.0
14,Harris,9/1/2016 - 8/31/2017,110135.0
15,Harris,9/1/2017 - 8/31/2018,114130.0
16,Harris,9/1/2018 - 8/31/2019,141427.0
17,Harris,9/1/2019 - 8/31/2020,116367.0
18,Tarrant,9/1/2014 - 8/31/2015,39617.0
19,Tarrant,9/1/2015 - 8/31/2016,40129.0
20,Tarrant,9/1/2016 - 8/31/2017,45242.0
21,Tarrant,9/1/2017 - 8/31/2018,49738.0
22,Tarrant,9/1/2018 - 8/31/2019,56981.0
23,Tarrant,9/1/2019 - 8/31/2020,48643.0
24,Denton,9/1/2014 - 8/31/2015,11384.0
25,Denton,9/1/2015 - 8/31/2016,11562.0
26,Denton,9/1/2016 - 8/31/2017,13889.0
27,Denton,9/1/2017 - 8/31/2018,15972.0
28,Denton,9/1/2018 - 8/31/2019,18442.0
29,Denton,9/1/2019 - 8/31/2020,14333.0
30,Williamson,9/1/2014 - 8/31/2015,5349.0
31,Williamson,9/1/2015 - 8/31/2016,5756.0
32,Williamson,9/1/2016 - 8/31/2017,6811.0
33,Williamson,9/1/2017 - 8/31/2018,7816.0
34,Williamson,9/1/2018 - 8/31/2019,9457.0
35,Williamson,9/1/2019 - 8/31/2020,5961.0
36,Nueces,9/1/2014 - 8/31/2015,3462.0
37,Nueces,9/1/2015 - 8/31/2016,6056.0
38,Nueces,9/1/2016 - 8/31/2017,7192.0
39,Nueces,9/1/2017 - 8/31/2018,8804.0
40,Nueces,9/1/2018 - 8/31/2019,9987.0
41,Nueces,9/1/2019 - 8/31/2020,8928.0
42,Fort Bend,9/1/2014 - 8/31/2015,6793.0
43,Fort Bend,9/1/2015 - 8/31/2016,6967.0
44,Fort Bend,9/1/2016 - 8/31/2017,8646.0
45,Fort Bend,9/1/2017 - 8/31/2018,9804.0
46,Fort Bend,9/1/2018 - 8/31/2019,12748.0
47,Fort Bend,9/1/2019 - 8/31/2020,10613.0
48,Smith,9/1/2014 - 8/31/2015,2611.0
49,Smith,9/1/2015 - 8/31/2016,2743.0
50,Smith,9/1/2016 - 8/31/2017,3191.0
51,Smith,9/1/2017 - 8/31/2018,3531.0
52,Smith,9/1/2018 - 8/31/2019,3856.0
53,Smith,9/1/2019 - 8/31/2020,3510.0
