,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
0,Moody,Anchorage,Phoenix,Pine Bluff,Los Angeles,Arvada,Avon,Bear,Fleming Island,Avondale Estates,Aiea,Pocatello,Alden,Alexandria,Ackworth,Atchison,Bagdad,Metairie,Berwick,Dhs,Agawam,Algonac,Afton,Abbeville,Allenton,Absarokee,Abie,The Lakes,Amherst,Avenel,Algodones,Holtsville,Advance,Abercrombie,Alexandria,Albert,Antelope,Aliquippa,Adamsville,Alcolu,Alcester,Adams,Austin,Altamont,White River Junction,Dulles,Auburn,Bluefield,Adell,Cheyenne
1,Adamsville,Jber,New River,White Hall,West Hollywood,Aurora,Bloomfield,Newark,Ponte Vedra Beach,Norcross,Anahola,Fort Hall,Antioch,Anderson,Adair,Baldwin City,Bardstown,Des Allemands,Cape Neddick,Waldorf,Amherst,Allenton,Almelund,Arkabutla,Chesterfield,Acton,Arlington,Alamo,Auburn,Bayonne,Belen,Fishers Island,Ararat,Absaraka,Amlin,Alex,Aurora,Ambridge,Albion,Ballentine,Aurora,Antioch,Texhoma,Altonah,Ascutney,Aldie,Federal Way,Athens,Allenton,Fe Warren Afb
2,Adger,Indian,Apache Junction,Arkansas City,Dodgertown,Broomfield,Windsor,Claymont,Bostwick,Alpharetta,Captain Cook,Aberdeen,Arlington Heights,Arcadia,Adel,Basehor,Bedford,Ama,Eliot,Abell,Barre,Almont,Bayport,Ashland,Arnold,Ashland,Ashland,Henderson,Brookline,Bloomfield,Bernalillo,New York,Belews Creek,Amenia,Ashley,Edmond,Beavercreek,Atlasburg,Ashaway,Bamberg,Baltic,Alexandria,Addison,American Fork,Barnard,Amissville,Bellevue,Beeson,Ashippun,Albin
3,Alabaster,Kongiganak,Gold Canyon,Banks,Playa Vista,Commerce City,Bristol,Delaware City,Branford,Marietta,Eleele,American Falls,Elk Grove Village,Atlanta,Albion,Bendena,Bethlehem,Arabi,Kittery,Accokeek,Belchertown,Anchorville,Bethel,Batesville,Ballwin,Ballantine,Bancroft,Beatty,Candia,Fairfield,Bluewater,Staten Island,Bethania,Argusville,Blacklick,Amber,Beaverton,Baden,Barrington,Batesburg,Beresford,Arrington,Allen,Alpine,Bethel,Arcola,Black Diamond,Bramwell,Belgium,Bosler
4,Alexander City,Adak,Bapchule,Crossett,Bell Gardens,Dupont,Burlington,Hockessin,Bryceville,Auburn,Ewa Beach,Arbon,Rolling Meadows,Carmel,Alden,Blue Mound,Bloomfield,Barataria,Kittery Point,Aquasco,Blandford,Armada,Braham,Belen,Barnhart,Bearcreek,Bellevue,Blue Diamond,Chester,Boonton,Bosque,Bronx,Boonville,Arthur,Bladensburg,Anadarko,Boring,Bairdford,Block Island,Bethune,Brandon,Ashland City,Carrollton,Eagle Mountain,Bradford,Manassas,Bothell,Bud,Brookfield,Buford
5,Allgood,Atka,Casa Grande,Dermott,Bell,Eldorado Springs,Broad Brook,Kirkwood,Callahan,Conyers,Kapolei,Arco,Barrington,Cicero,Alleman,Bonner Springs,Bradfordsville,Belle Chasse,North Berwick,Avenue,Bondsville,Avoca,Brook Park,Blue Mountain,Beaufort,Belfry,Bennington,Boulder City,Deerfield,Caldwell,Casa Blanca,Amawalk,Clemmons,Ayr,Brinkhaven,Apache,Bridal Veil,Bakerstown,Bradford,Bishopville,Brookings,Auburntown,Celina,Bingham Canyon,Bridgewater,Marshall,Burton,Covel,Brownsville,Burns
6,Alpine,Chignik Lake,Arizona City,Dumas,Beverly Hills,Lafayette,Canaan,Middletown,Day,Covington,Haiku,Arimo,Crystal Lake,Colfax,Allerton,Bucyrus,Buckner,Boothville,Ogunquit,Barstow,Brimfield,Troy,Cambridge,Byhalia,Berger,Bighorn,Blair,Bunkerville,Derry,Carteret,Cedar Crest,Ardsley,Cleveland,Barney,Broadway,Arcadia,Brightwood,Beaver,Bristol,Blackstock,Burbank,Beechgrove,Irving,Bluebell,Bridgewater Corners,Middleburg,Carnation,Freeman,Butler,Carpenter
7,Alton,Port Heiden,Chandler Heights,Eudora,Compton,Louisville,Canton,Montchanin,Lake City,Grayson,Hakalau,Atomic City,Cary,Elwood,Altoona,Centerville,Campbellsburg,Boutte,South Berwick,Bel Alton,Chester,Birmingham,Cannon Falls,Clarksdale,Catawissa,Big Timber,Boys Town,Caliente,East Candia,Cedar Grove,Cedarvale,Ardsley On Hudson,Cooleemee,Blanchard,Buckeye Lake,Bethany,Canby,Beaver Falls,Carolina,Blair,Canistota,Belfast,Coppell,Bonanza,Brookfield,Catlett,Duvall,Herndon,Campbellsport,Centennial
8,Arab,Port Lions,Coolidge,Fountain Hill,Culver City,Westminster,Canton Center,New Castle,Raiford,Jersey,Haleiwa,Bancroft,Deerfield,Fishers,Ames,Colony,Chaplin,Braithwaite,York,Benedict,Chesterfield,Capac,Castle Rock,Coahoma,Cedar Hill,Birney,Bruno,Dyer,East Derry,Cliffside Park,Cerrillos,Armonk,Danbury,Buffalo,Cable,Binger,Cascade Locks,Belle Vernon,Charlestown,Blythewood,Canton,Bell Buckle,Denison,South Jordan,Brownsville,Centreville,Edmonds,Hiawatha,Cascade,Garrett
9,Baileyton,Akiachak,Eloy,Gould,Downey,Wheat Ridge,Colebrook,Odessa,Doctors Inlet,Dacula,Hana,Basalt,Des Plaines,Forest,Anita,Cummings,Coxs Creek,Buras,York Beach,Brandywine,Chicopee,Center Line,Cedar,Coldwater,Crystal City,Boyd,Cedar Bluffs,Goldfield,Epping,Clifton,Claunch,Baldwin Place,Dobson,Casselton,Catawba,Blanchard,Clackamas,Brackenridge,Chepachet,Bowman,Centerville,Bethpage,Flower Mound,Bountiful,Chelsea,Clifton,Enumclaw,Kegley,Cedarburg,Granite Canon
